,title,paragraphs
0,Where do vegans get their protein? Do you get enough protein?,"Getting enough protein is not actually as hard as people will make you think. What people don’t realise is that protein is in virtually everything we eat! Plus most adults need only about 50g a day but consume considerably more than this.
Great vegan sources of protein include, tofu, tempeh, seitan, lentils, chickpeas, beans, nuts and seeds.
"
1,Are free range eggs bad?,"Most free range laying hens live in crowded sheds. Their outside area is generally restricted to a small enclosure with access via small exit holes which many hens are unable to reach and therefore have no outside access. The ones who do go outside are sometime trapped outside to be picked off by foxes. Hens can have a lifespan of 10 years, however they are often killed after 18 months when their productivity drops. Free range laying hens are the offspring of parent birds who are kept for their entire lives inside crowded, filthy sheds with no access to the outside. The hens and roosters are housed together for constant mating. The hens have no escape or respite from the roosters, their backs become featherless, red and sore from when roosters mount them. The female chicks of these parent birds are sent to free range, barn laid or caged sheds. The males are unwanted by-products and are killed soon after hatching, generally by being ground up alive in a macerator."
2,can vegans eat fish?,"I don’t want to state the obvious but… fish aren’t vegetables! Even though they are very different from us, they are still living and breathing sentient beings who experience suffering and pain, and they are not food."
3,Don't cows need to be milked though?,"A cow only needs to be milked because she had her calf taken away from her within a day or two of birth. The calf gets a cheap replacement formula generally made from slaughterhouse plasma and vitamins. Perhaps this strikes you as an unfair deal all the way around. And in a few months, after the cow’s milk yields peak, she’ll be re-impregnated once again to start the whole cycle all over. For more details, check out our page on dairy cows.

All in all, it’s a terrible life for these animals, especially the cows who live on “dry lot” dairies who are confined in crowded sheds. Disease is common, especially mastitis—an infection of the udders brought on by the enormous milk yields of modern-day dairy cows.

Luckily, it’s never been easier to go dairy-free. Excellent vegan versions of traditional dairy products are abundant and easy to find. Most groceries today carry soy, rice, and almond milk. And you can find excellent vegan cheese and ice cream at any natural foods store, and in better supermarkets. It’s also easy to find non-dairy yogurts, margarine, and even coffee creamer. Look for all these products in the dairy case."
4,Do animals suffer?,"Animals have the same evolutionary past as us and the same reporting mechanisms for pain that we do; a brain and central nervous system. They also produce the same reactions in scenarios where pain would arise; they flinch and make noises of distress. There’s strong evidence too that animals experience mental suffering. In stressful situations vertebrates have been found to release adrenally-derived glucocorticoid hormones which “drive gluconeogenesis, suppress reproductive processes, alter movement and feeding rates, impact immune functions, and generally help an individual enter a ‘state of emergency’ when an environmental stressor induces their release”. Fish too, for example, “experience a rise in cortisol” (commonly known as the stress hormone) when confronted with factors capable of producing fear. There is even evidence that animals can experience mental illnesses just as we do."
5,Do plants suffer?,"Plants have input and output reactions to certain stimulation, for example photosynthesis, but they can’t experience pain or mental suffering due to not having a brain or central nervous system. Being vegan actually reduces the number of plants eaten because the animals we eat have to be fed on vast quantities of plants. Producing a kilogram of beef requires 25 kilograms of grain, one kilogram of pork requires nine kilograms of grain and one kilogram of chicken requires three kilograms of grain. This is also why the argument that eating meat is better than being vegan because more insects and small animals are killed in plant agriculture does not hold."
6,"Does producing milk, cheese and eggs cause suffering?","These processes indeed cause great suffering to animals. Mother cows need to be pregnant to produce milk so from 15 months old they are forced into confined spaces every two or three months and artificially impregnated. After birth, the calf is removed from the mother within 36 hours; if the calf is male, he will likely be sold to be raised for veal or if there isn’t enough demand, he will be shot. The Drum reported in 2012 that 90,000 male calves are shot dead each year for this reason. If the calf is female, she will often be prepared to be a mother calf.Normally, a cow holds at most two litres of milk in her udder but the antibiotics farmers use for optimum milk production cause cows to carry 20 litres at any one time. The weight of this often makes cows lame or causes painful inflammation of the mammary glands (mastitis). Cows naturally live for up to 25 years but after 5 years of producing milk in these conditions their yield will no longer be profitable and they are slaughtered. In egg production, whether free range or not, hens have their beak painfully trimmed to prevent them injuring other hens due to the stress of confinement. They also experience a pre-mature death at around 80 weeks, when their natural life span is up to 8 years. Caged hens never see daylight and are restricted to space only slightly larger than a sheet of A4 paper. Male chicks are an unnecessary by-product of this process and are killed straight after hatching by incineration or gassing.   "
7,Does vegan food taste good?,"Yes it does! Our culture is all that limits us in eating an amazing selection of delicious vegan foods. We are increasingly programmed to eat highly processed and animal based diets. It is so much easier these days with plenty of vegan products and recipes available, and more coming into the market all the time"
8,Don’t we need some animal products in our diet to be healthy?,"For those who might be concerned about meeting all their nutritional requirements with just plant foods, rest assured that even the mainstream and conservative Academy of Nutrition and Dietetics (formerly the American Dietetic Association, and described by www.eatright.org as “the world’s largest organization of food and nutrition professionals”) confirms that you do not need to eat animal products to maintain your health.

“It is the position of the American Dietetic Association that appropriately planned vegetarian diets, including total vegetarian or vegan diets, are healthful, nutritionally adequate and may provide health benefits in the prevention and treatment of certain diseases. Well-planned vegetarian diets are appropriate for individuals during all stages of the life-cycle including pregnancy, lactation, infancy, childhood and adolescence and for athletes.

Many people who become vegan report that their health greatly improves as a result. Perhaps, the lighter, healthier body that emerges with veganism is a reflection of a lighter, healthier conscience that comes with taking a stand against injustice and making a commitment to non-violence.

Finally, unlike the Atkins, Paleo, or South Beach diets, which are trendy fads, veganism is neither a fad nor a diet, but a stand against injustice and commitment to non-violence that impacts one’s eating choices because of ethical considerations. Nevertheless, the growing number of strong, active vegans are a testament to the fact that one doesn’t have to sacrifice one’s physical health to embrace a more gentle way of life."
9,What is environmental veganism?,"Environmental vegans focus on conservation, rejecting the use of animal products on the premise that fishing, hunting, trapping and farming, particularly factory farming, are environmentally unsustainable. This specific form of veganism focuses its way of living on how to have a sustainable way of life without consuming animals."
10,What is ethical veganism?,"Ethical veganism, also known as moral veganism, is based on opposition to speciesism, the assignment of value to individuals on the basis of (animal) species membership alone."
11,What is moral veganism?,"Ethical veganism, also known as moral veganism, is based on opposition to speciesism, the assignment of value to individuals on the basis of (animal) species membership alone."
12,We evolved to eat meat? It's natural,"There’s no doubt that at many times in history, especially during periods of war and famine, the ability for people to eat meat helped ensure their survival. Likewise, there are some parts of the world today where local populations depend of fish, poultry, or livestock for protein and calories. That’s because marginal lands that won’t support agriculture can often still support the grazing of livestock, and some coastal areas have insufficient land for farming but access to substantial amounts of fish.

That said, few people living in developed countries can credibly claim that their survival depends on animal products. In terms of nutrition, there’s nothing in animal products that isn’t readily available from a well-planned vegan diet.

And if we were really intent on feeding the world, we would stop feeding a huge portion of the worldwide grain crop to livestock (which entails massive food waste), and instead grow grains for human consumption."
13,How hard is it to really become a vegan?,"Nearly every single vegan you ask will tell you the transition was much easier than they expected. While becoming vegan may sound difficult right now, you’ll no doubt be shocked by how easy this is, especially if you take the time to read up on the topic."
