title,paragraphs
where do you get your protein?,"Getting enough protein is not actually as hard as people will make you think. What people don’t realise is that protein is in virtually everything we eat! Plus most adults need only about 50g a day but consume considerably more than this.
Great vegan sources of protein include, tofu, tempeh, seitan, lentils, chickpeas, beans, nuts and seeds.
"
Are free range eggs bad?,"Most free range laying hens live in crowded sheds. Their outside area is generally restricted to a small enclosure with access via small exit holes which many hens are unable to reach and therefore have no outside access. The ones who do go outside are sometime trapped outside to be picked off by foxes. Hens can have a lifespan of 10 years, however they are often killed after 18 months when their productivity drops. Free range laying hens are the offspring of parent birds who are kept for their entire lives inside crowded, filthy sheds with no access to the outside. The hens and roosters are housed together for constant mating. The hens have no escape or respite from the roosters, their backs become featherless, red and sore from when roosters mount them. The female chicks of these parent birds are sent to free range, barn laid or caged sheds. The males are unwanted by-products and are killed soon after hatching, generally by being ground up alive in a macerator."
Can you still eat fish?,"I don’t want to state the obvious but… fish aren’t vegetables! Even though they are very different from us, they are still living and breathing sentient beings who experience suffering and pain, and they are not food."
Don't cows need to be milked though?,"A cow only needs to be milked because she had her calf taken away from her within a day or two of birth. The calf gets a cheap replacement formula generally made from slaughterhouse plasma and vitamins. Perhaps this strikes you as an unfair deal all the way around. And in a few months, after the cow’s milk yields peak, she’ll be re-impregnated once again to start the whole cycle all over. For more details, check out our page on dairy cows.

All in all, it’s a terrible life for these animals, especially the cows who live on “dry lot” dairies who are confined in crowded sheds. Disease is common, especially mastitis—an infection of the udders brought on by the enormous milk yields of modern-day dairy cows.

Luckily, it’s never been easier to go dairy-free. Excellent vegan versions of traditional dairy products are abundant and easy to find. Most groceries today carry soy, rice, and almond milk. And you can find excellent vegan cheese and ice cream at any natural foods store, and in better supermarkets. It’s also easy to find non-dairy yogurts, margarine, and even coffee creamer. Look for all these products in the dairy case."
Do animals suffer?,"Animals have the same evolutionary past as us and the same reporting mechanisms for pain that we do; a brain and central nervous system. They also produce the same reactions in scenarios where pain would arise; they flinch and make noises of distress. There’s strong evidence too that animals experience mental suffering. In stressful situations vertebrates have been found to release adrenally-derived glucocorticoid hormones which “drive gluconeogenesis, suppress reproductive processes, alter movement and feeding rates, impact immune functions, and generally help an individual enter a ‘state of emergency’ when an environmental stressor induces their release”. Fish too, for example, “experience a rise in cortisol” (commonly known as the stress hormone) when confronted with factors capable of producing fear. There is even evidence that animals can experience mental illnesses just as we do."
Do plants suffer?,"Plants have input and output reactions to certain stimulation, for example photosynthesis, but they can’t experience pain or mental suffering due to not having a brain or central nervous system. Being vegan actually reduces the number of plants eaten because the animals we eat have to be fed on vast quantities of plants. Producing a kilogram of beef requires 25 kilograms of grain, one kilogram of pork requires nine kilograms of grain and one kilogram of chicken requires three kilograms of grain. This is also why the argument that eating meat is better than being vegan because more insects and small animals are killed in plant agriculture does not hold."
"Does producing milk, cheese and eggs cause suffering?","These processes indeed cause great suffering to animals. Mother cows need to be pregnant to produce milk so from 15 months old they are forced into confined spaces every two or three months and artificially impregnated. After birth, the calf is removed from the mother within 36 hours; if the calf is male, he will likely be sold to be raised for veal or if there isn’t enough demand, he will be shot. The Drum reported in 2012 that 90,000 male calves are shot dead each year for this reason. If the calf is female, she will often be prepared to be a mother calf.Normally, a cow holds at most two litres of milk in her udder but the antibiotics farmers use for optimum milk production cause cows to carry 20 litres at any one time. The weight of this often makes cows lame or causes painful inflammation of the mammary glands (mastitis). Cows naturally live for up to 25 years but after 5 years of producing milk in these conditions their yield will no longer be profitable and they are slaughtered. In egg production, whether free range or not, hens have their beak painfully trimmed to prevent them injuring other hens due to the stress of confinement. They also experience a pre-mature death at around 80 weeks, when their natural life span is up to 8 years. Caged hens never see daylight and are restricted to space only slightly larger than a sheet of A4 paper. Male chicks are an unnecessary by-product of this process and are killed straight after hatching by incineration or gassing.   "
Does vegan food taste good?,"Yes it does! Our culture is all that limits us in eating an amazing selection of delicious vegan foods. We are increasingly programmed to eat highly processed and animal based diets. It is so much easier these days with plenty of vegan products and recipes available, and more coming into the market all the time"
Don’t we need some animal products in our diet to be healthy?,"For those who might be concerned about meeting all their nutritional requirements with just plant foods, rest assured that even the mainstream and conservative Academy of Nutrition and Dietetics (formerly the American Dietetic Association, and described by www.eatright.org as “the world’s largest organization of food and nutrition professionals”) confirms that you do not need to eat animal products to maintain your health.

“It is the position of the American Dietetic Association that appropriately planned vegetarian diets, including total vegetarian or vegan diets, are healthful, nutritionally adequate and may provide health benefits in the prevention and treatment of certain diseases. Well-planned vegetarian diets are appropriate for individuals during all stages of the life-cycle including pregnancy, lactation, infancy, childhood and adolescence and for athletes.

Many people who become vegan report that their health greatly improves as a result. Perhaps, the lighter, healthier body that emerges with veganism is a reflection of a lighter, healthier conscience that comes with taking a stand against injustice and making a commitment to non-violence.

Finally, unlike the Atkins, Paleo, or South Beach diets, which are trendy fads, veganism is neither a fad nor a diet, but a stand against injustice and commitment to non-violence that impacts one’s eating choices because of ethical considerations. Nevertheless, the growing number of strong, active vegans are a testament to the fact that one doesn’t have to sacrifice one’s physical health to embrace a more gentle way of life."
What is environmental veganism?,"Environmental vegans focus on conservation, rejecting the use of animal products on the premise that fishing, hunting, trapping and farming, particularly factory farming, are environmentally unsustainable. This specific form of veganism focuses its way of living on how to have a sustainable way of life without consuming animals."
What is ethical veganism?,"Ethical veganism, also known as moral veganism, is based on opposition to speciesism, the assignment of value to individuals on the basis of (animal) species membership alone."
What is moral veganism?,"Ethical veganism, also known as moral veganism, is based on opposition to speciesism, the assignment of value to individuals on the basis of (animal) species membership alone."
We evolved to eat meat? It's natural,"There’s no doubt that at many times in history, especially during periods of war and famine, the ability for people to eat meat helped ensure their survival. Likewise, there are some parts of the world today where local populations depend of fish, poultry, or livestock for protein and calories. That’s because marginal lands that won’t support agriculture can often still support the grazing of livestock, and some coastal areas have insufficient land for farming but access to substantial amounts of fish.

That said, few people living in developed countries can credibly claim that their survival depends on animal products. In terms of nutrition, there’s nothing in animal products that isn’t readily available from a well-planned vegan diet.

And if we were really intent on feeding the world, we would stop feeding a huge portion of the worldwide grain crop to livestock (which entails massive food waste), and instead grow grains for human consumption."
How hard is it to really become a vegan?,"Nearly every single vegan you ask will tell you the transition was much easier than they expected. While becoming vegan may sound difficult right now, you’ll no doubt be shocked by how easy this is, especially if you take the time to read up on the topic."
Are vegan diets really good for the environment?,"Raising animals for meat, milk, and dairy production wastes resources and damages the environment on a massive scale. When fed to farm animals, a substantial portion of the calories and nutrients present in grains is turned to manure. This manure invariably pollutes local water supplies and chokes rivers and other bodies of water. Worse yet, the meat and dairy industries are now recognized as a leading contributor to climate change.
"
Do vegans get enough vitamin B12?,"Vegans can get B12 through fortified soy milk, marmite and savoury yeast flakes. B12 has also been added to some other vegan products (eg. some Sanitarium burgers, sausages and ice ‘creams’ – check labels though as some Sanitarium products contain eggs and dairy).

We recommend that vegans take a B12 supplement as any B12 present in plant foods is not easily absorbed into the body. It is important to also realise B12 is usually supplemented into ‘livestock’ animals diets too, so there is no ‘natural’ way for getting B12 in today’s society."
If we all went vegan – wouldn't all the animals die out?,"It's true that the number of animals will fall as farmers breed fewer and fewer animals as the years go by. Farmed animals live a controlled, distorted life, often filled with pain and fear. The vast majority of farmed animals are kept in indoor units where they never see the light of day. Those that are kept outside are only kept alive for a fraction of their natural lifespans before being slaughtered for meat - often in the most barbaric manner imaginable. All farmed animals are born to die at our command - a disgusting idea.  In a vegan world animals would not be kept for profit and greed but would be allowed to exist in their natural state and live their life in freedom."
"If we all went vegan, we’d be overrun with animals?","Farmed animals are not allowed to reproduce naturally and farmers only breed animals when they can make a profit out of doing so. As demand for meat goes down over time, so fewer and fewer animals will be bred. That means that we will not be overrun by millions of farmed animals, as some people seem to imagine. Eventually, the few that are left can be allowed to go free: pigs can root around in woodlands as it is natural for them to do, sheep will graze the hillsides like deer and so on. Their populations will find their own natural levels, just like every other animal."
"If you were stuck on a desert island, would you eat meat?","Maybe – but if you were stuck on a desert island you might have to run around naked, never take a shower and wipe your bottom with leaves: that doesn’t mean that you should do those things the rest of the time."
Is alcohol vegan?,"Most spirits are vegan, although there are the more obvious ones that contain cream or honey that are not. Most wines and beers go through a filtering process, often using animal products. Such filtering agents include milk, albumen (from eggs), isinglass (from the swim bladders of fish) and gelatine. Labelling regulations require allergens such as milk and egg to be listed on labels, but it is not a requirement for isinglass or gelatine. Coopers, Boags and Heineken beers are all vegan. While almost all German (and Belgian) beers are vegan because of their laws for purity!"
Is honey vegan?,"Honey is an animal product and is therefore avoided by vegans. Surprisingly, a lot of bees are factory farmed and live in unnatural conditions. The queen is often artificially inseminated, has her wings clipped and is replaced (killed) after 1 or 2 years (normal life span is around 5 years). Try using agave nectar, maple syrup or golden syrup instead."
Is it more expensive?,"Being vegan needn’t be more expensive than a diet containing animal products. Some of the cheapest and healthiest foods available are great staples of a vegan diet, including cereals, beans, rice, potatoes, lentils, pasta, bread, fruits and vegetables. If you’re eating a balanced diet that includes animal products, you likely already buy and enjoy many of these anyway. Some vegan items such as vegan milks and cheese can be more expensive than their non-vegan counterparts, but this additional outlay is likely to be balanced by the savings you make through not having to buy meat."
"Is it possible to really be vegan, when animal ingredients are everywhere?","Although it’s true that in today’s world, it is almost impossible to avoid using some non-vegan items or ingredients, it is also true that avoiding most of them is easier than you think. The rising number of vegans each year has created an increased demand for vegan products. So much so that today, there are many incredibly delicious, easily attainable, and easy to prepare substitutes that would have seemed miraculous to vegan pioneers, such as pizza and ice cream! "
Is palm oil vegan?,"In itself, palm oil is a vegetable product which does not need to involve the (ab)use of animals, and therefore is suitable for vegans. The palm oil and palm timber industries are rife with very bad practices. In the EU, palm oil used in food must now be labelled, but ingredients derived from palm oil in food and non-food products still do not have to be labelled."
Is veganism healthy?,"Well-planned vegan diets contain all the nutrients we need to remain healthy. The British Dietetic Association (BDA) is the professional association for dietitians in Great Britain and Northern Ireland. The BDA recognises that well-planned vegan diets can support healthy living in people of all ages. It's always a great idea to pay attention to nutritional needs, but this applies to everyone, not just vegans. Going vegan is great opportunity to pay more attention to your diet and health. The"
Isn’t it expensive to be vegan?,"There’s plenty of cheap yet high-quality vegan food out there, and the trick to finding it all is learning how to shop effectively. Once you learn a few basic shopping tips, it’s actually easier to eat an affordable vegan diet than one that contains animal products. The key to being vegan on the cheap is to buy unprocessed foods in bulk. Every good natural foods store has a bulk section where you can buy everything from beans to grains to nuts to granola. If you can keep most of your purchases to items costing under $3 a pound your grocery bill will be remarkably low."
It’s alright to eat animals if they’ve had a good life?,"Would it be alright to kill and eat people if they’d had a good life? And what do we mean by a ‘good’ life, anyway? In the case of animals, we certainly don’t mean a long one. ‘Meat’ animals are killed as babies in the case of lambs and veal calves or as soon as they become physically mature – the equivalent of human teenagers - and never get to lead any kind of adult life. Animals, of course, want to live just as much as we do. "
