title,paragraphs
All the farmers would be unemployed if we stopped eating meat,People will still need to eat when we are all vegan so there will still be plenty of jobs for farmers! (In fact the intensive farming of animals has caused severe unemployment in agriculture as so few people are employed to look after so many animals. A vegan world would mean more employed in sustainable methods of farming.)
Alternative food movements,"In the 1960s and 1970s, a vegetarian food movement emerged as part of the counterculture in the United States that focused on concerns about diet, the environment, and a distrust of food producers, leading to increasing interest in organic gardening.[94][95] One of the most influential vegetarian books of that time was Frances Moore Lappé's 1971 text, Diet for a Small Planet.[96] It sold more than three million copies and suggested ""getting off the top of the food chain"".[97]

The following decades saw research by a group of scientists and doctors in the United States, including physicians Dean Ornish, Caldwell Esselstyn, Neal D. Barnard, John A. McDougall, Michael Greger, and biochemist T. Colin Campbell, who argued that diets based on animal fat and animal protein, such as the Western pattern diet, were detrimental to health.[98] They produced a series of books that recommend vegan or vegetarian diets, including McDougall's The McDougall Plan (1983), John Robbins's Diet for a New America (1987), which associated meat eating with environmental damage, and Dr. Dean Ornish's Program for Reversing Heart Disease (1990).[99] In 2003 two major North American dietitians' associations indicated that well-planned vegan diets were suitable for all life stages.[100] This was followed by the film Earthlings (2005), Campbell's The China Study (2005), Rory Freedman and Kim Barnouin's Skinny Bitch (2005), Jonathan Safran Foer's Eating Animals (2009), and the film Forks over Knives (2011).[101]

In the 1980s, veganism became associated with punk subculture and ideologies, particularly straight edge hardcore punk in the United States;[102] and anarcho-punk in the United Kingdom.[103] This association continues on into the 21st century, as evinced by the prominence of vegan punk events such as Fluff Fest in Europe.[104][105]"
Animal Welfare,"Let’s begin with animal welfare, a simple concept arising out of common decency. Animal welfare’s core message is: if you’re going to use animals for food, cosmetics, or anything else, you are obligated to eliminate needless suffering. Unfortunately, that’s easier said than done. A great deal of the suffering intrinsic to animal use is expensive and difficult to remove. Verifying acceptable welfare is unreliable, since—as we’ve seen—farmers have every incentive to cheat. Once someone begins to pay attention to animal welfare, some degree of dietary change is virtually inevitable. Nearly everyone who thinks carefully about animal welfare ends up eating fewer animal-derived foods, since that’s the easiest and most reliable way to cut out cruelty. In order to eliminate additional suffering, people also switch to free-range and pasture-raised animal products.

Many omnivores who give animal welfare a close look ultimately decide they can’t make peace with slaughter. Objecting to slaughter doesn’t just close the door on consuming meat, but eggs and dairy products as well. But animal welfare is only one approach to thinking seriously about the ethics of eating. The most challenging ideas offered by the animal protection movement relate not to animal welfare, but to animal rights. Animal welfare condones virtually any use of animals, as long as we attempt to minimize suffering. Animal rights rejects this world view and emphatically proclaims that animals are not ours to use however we wish. As its name suggests, animal rights goes beyond animal welfare to proclaim that animals have rights. Just as it’s wrong to falsely imprison somebody, even if that prison is the Waldorf Astoria, it’s similarly wrong to raise animals for slaughter no matter how well they are kept."
Are free-range eggs ok?,"Most free range laying hens live in crowded sheds. Their outside area is generally restricted to a small enclosure with access via small exit holes which many hens are unable to reach and therefore have no outside access. The ones who do go outside are sometime trapped outside to be picked off by foxes. Hens can have a lifespan of 10 years, however they are often killed after 18 months when their productivity drops. Free range laying hens are the offspring of parent birds who are kept for their entire lives inside crowded, filthy sheds with no access to the outside. The hens and roosters are housed together for constant mating. The hens have no escape or respite from the roosters, their backs become featherless, red and sore from when roosters mount them. The female chicks of these parent birds are sent to free range, barn laid or caged sheds. The males are unwanted by-products and are killed soon after hatching, generally by being ground up alive in a macerator."
But where do you get your protein?,"Getting enough protein is not actually as hard as people will make you think. What people don’t realise is that protein is in virtually everything we eat! Plus most adults need only about 50g a day but consume considerably more than this.
Great vegan sources of protein include, tofu, tempeh, seitan, lentils, chickpeas, beans, nuts and seeds.
"
Can you still eat fish?,"We don’t want to state the obvious but… fish aren’t vegetables! Even though they are very different from us, they are still living and breathing sentient beings who experience suffering and pain, and they are not food."
Chickens and ducks,"Globally, more than 66 billion chickens are reared annually as a source of food, for both their meat and eggs. Every year in the UK we slaughter around 950 million birds for food consumption, including chickens, ducks and turkeys.
Over 90% of chicken production in the UK is in intensive windowless sheds which house 20,000-50,000 chickens each. 51% of eggs produced come from chickens in battery cages. 40 million day-old male chicks are killed in the UK by either being gassed or being thrown into a macerator - this practice occurs in all egg farming systems, including organic and free-range. Beak trimming is the permanent removal of part of the beak of a bird at a young age. This is standard industry practice in the UK despite being illegal in many European countries due to the pain it inflicts. A free-range egg farmer can legally house 16,000 birds in one building, meaning that they can house 9 birds per square metre of space. This means that free-range hens live out their entire lives in an overcrowded indoor farming unit. Around 95% of duck production and 90% of turkey production comes from intensive indoor farming."
Cows,"Dairy cows have been bred to produce up to 10 times more milk than they naturally would. Male calves are of no use to the dairy industry and are less suitable for beef production. This means that every year around 95,000 male dairy calves are shot soon after birth and discarded as a by-product. Domesticated cows have an average lifespan of 20 years, but on dairy farms they are killed after 5-6 years on average. 30% of UK dairy cows have mastitis, a bacterial infection of the udder. Every year on the UK, 2.6 million cattle are slaughtered for human consumption. Cows can naturally live for around 20 years, but are sent for slaughter at around 10 - 12 months old."
"Cows need to be milked, don’t they? We’re just doing them a favor.","A cow only needs to be milked because she had her calf taken away from her within a day or two of birth. The calf gets a cheap replacement formula generally made from slaughterhouse plasma and vitamins. Perhaps this strikes you as an unfair deal all the way around. And in a few months, after the cow’s milk yields peak, she’ll be re-impregnated once again to start the whole cycle all over. For more details, check out our page on dairy cows.

All in all, it’s a terrible life for these animals, especially the cows who live on “dry lot” dairies who are confined in crowded sheds. Disease is common, especially mastitis—an infection of the udders brought on by the enormous milk yields of modern-day dairy cows.

Luckily, it’s never been easier to go dairy-free. Excellent vegan versions of traditional dairy products are abundant and easy to find. Most groceries today carry soy, rice, and almond milk. And you can find excellent vegan cheese and ice cream at any natural foods store, and in better supermarkets. It’s also easy to find non-dairy yogurts, margarine, and even coffee creamer. Look for all these products in the dairy case."
Crowding at Factory Farms,"The most obvious component of factory farming pertains to the extreme crowding imposed on animals. This is especially the case in the egg industry. In countries and states that haven’t yet outlawed the practice, egg farmers keep their hens in “battery cages,” where each hen has less floor space than a sheet of printer paper. Additionally, these hens spend their entire lives standing on wire-bottomed cages. Predictably, the wire causes abrasions that lead to open sores and bruises. The birds sleep while being pressed against the cage and literally never have a moment of comfort. Pigs face comparably appalling living conditions, especially females used for breeding. These sows often spend their entire lives in gestation and farrowing crates. Standard crates forbid any sort of normal movement. In fact, they are so narrow that the sow lacks sufficient space to turn around. Pig urine produces vapors full of ammonia. At many pig farms, the air quality is so poor that the pigs commonly develop lung lesions. On top of that, workers have significantly elevated rates of respiratory problems. In fact, even people living on neighboring properties have impaired lung function.4 What about cows and cattle? Whether in person or in movies, we’ve all seen cows grazing scenic hillsides. Beef cattle are the only farm animals that nearly always live a portion of their lives outdoors in good conditions. Some dairy cows also spend much of their lives outdoors. But many dairies are factory farms that intensively confine their cows for their entire lives.

Even for the lucky cattle who spend time outside, this experience is only temporary. Beef cattle are invariably “finished” at feedlots. There, they live out their final months crowded onto filthy, barren plots of land. One such feedlot is the notorious Harris Ranch that’s adjacent to the Interstate 5 corridor of California. Having driven this stretch of Interstate countless times, I have often smelled the stench of the feedlot several kilometers before reaching it. The feedlot covers hundreds of acres, with seemingly every square meter crammed with animals amassed on black manure-coated earth. If you’ve seen one feedlot you’ve seen them all. Any large feedlot is basically indistinguishable from what you can see at Harris Ranch.

Conditions are just as bad, and nearly identical, at many dairy farms. The industry calls the most crowded of these places “dry lot” facilities. Some dairies are nearly indistinguishable from beef feedlots. The easiest way for an untrained observer to spot the difference is to look at the animals: most dairy cows have spotted coats whereas beef cattle are usually solid dark brown. As with beef cattle at feedlots, “dry lot” dairy cows have no opportunity to graze and are instead fed silage out of troughs. Twice a day, they’re hooked up to milking machines."
